TANGGAL,DESKRIPSI,NOMER PART,Qty,Sat,PENGGUNA,No Lamb, HARGA  , JUMLAH 
2023-10-05,Daun Velg L6-12mm Mercy,SBM/Potong 175.000,1,pcs, N 8432 BF ,310,"305,000","305,000"
2023-10-05,Pasang Daun Velg,Bambang AS,1,pcs, N 8624 UG ,D,"150,000","150,000"
2023-10-05,Daun Velg L6-12mm Mercy,SBM/Potong 175.000,1,pcs, N 8624 UG ,D,"305,000","305,000"
2023-10-06,MASTER KOPLING Atas /BOOSTER CLUTCH 90mm,73 MOTOR,1,pcs, N 8417 UE ,403,"660,000","660,000"
2023-10-06,Minyak Rem PRESTONE / ARNEX,DOT 3,0.3,ltr, N 8417 UE ,403,"75,000","22,500"
2023-10-06,Daun Velg L-5/12mm  NKR 66,73 Motor,1,pcs, N 8105 UB ,401,"390,000","390,000"
2023-10-06,Bongkar Pasang Velg ,Bengkel Triyeny,1,pcs, N 8105 UB ,401,"60,000","60,000"
2023-10-06,Kawat Las RB 4.0 mm,Untuk Las Velg,11,pcs, N 8105 UB ,401,"1,565","17,215"
2023-10-06,Oil Engine MEDITRAN SX,15W-40,3,ltr, N 8515 UH ,404,"32,100","96,300"
2023-10-06,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,1422219,1,pcs,N 9489 UH,113,"1,050,000","1,050,000"
2023-10-06,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,1,pcs,N 9489 UH,113,"134,390","134,390"
2023-10-06,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,1,pcs,N 9489 UH,113,"38,724","38,724"
2023-10-06,Ban Jasa Vulkansir Panas 750-16 / BSJ,1020320,1,pcs, N 8105 UB ,401,"500,000","500,000"
2023-10-06,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,1,pcs, N 8105 UB ,401,"134,390","134,390"
2023-10-06,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,1,pcs, N 8105 UB ,401,"38,724","38,724"
2023-10-06,Service Dinamo Stater NKR 71,BJL Service,1,pcs, N 8502 UA ,405,"500,000","500,000"
2023-10-07,Oil Engine MEDITRAN SX,15W-40,9,ltr, N 8432 BF ,310,"32,100","288,900"
2023-10-07,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs, N 8432 BF ,310,"34,575","34,575"
2023-10-07,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,2,pcs, N 9429 UG ,303,"60,000","120,000"
2023-10-07,SEAL REM NKR71 40493,73 MOTOR,4,pcs, N 9429 UG ,303,"10,000","40,000"
2023-10-07,Oil Engine MEDITRAN SX PLUS ( 200 L ),Cahaya Gunung Jati,11.5,ltr, N 8235 UG ,124,"33,750","388,125"
2023-10-07,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs, N 8235 UG ,124,"94,575","94,575"
2023-10-07,Velg repair L6-12mm,TRIYENNY JAYA,2,pcs, N 8235 UG ,124,"60,000","120,000"
2023-10-07,DAUN VELG CANTER L6 12mm / Mercy,SBM,2,pcs, N 8235 UG ,124,"340,000","680,000"
2023-10-07,Kawat Las RB 4.0 mm,Untuk Las Velg,22,pcs, N 8235 UG ,124,"1,565","34,430"
2023-10-07,Oil Engine MEDITRAN SX PLUS ( 200 L ),Cahaya Gunung Jati,11.5,ltr,N 8271 UF,125,"33,750","388,125"
2023-10-07,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs,N 8271 UF,125,"94,575","94,575"
2023-10-07,FUEL FILTER DMAX I6-98159 693-0,ASTRA ISUZU,1,pcs,N 8271 UF,125,"75,000","75,000"
2023-10-07,Fuel Filter NKR & NMR / ASTRA, I8 98037481-A,1,pcs,N 8271 UF,125,"90,675","90,675"
2023-10-07,Velg repair L6-12mm / Pindah Daun,TRIYENNY JAYA,1,pcs,N 8271 UF,125,0,0
2023-10-07,Kawat Las RB 4.0 mm,Untuk Las Velg,22,pcs,N 8271 UF,125,"1,565","34,430"
2023-10-07,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,1,pcs, N 9566 UG ,A,"60,000","60,000"
2023-10-07,BAUT RODA NKR71 RR-RH (IBK),73 MOTOR,1,pcs, N 9566 UG ,A,"60,000","60,000"
2023-10-07,Ban Depan Luar 750-16 BS Ex DT / ASTRA ISUZU,DT 5565-18 / DJ 0723,1,set, N 9490 UH ,112,"1,400,000","1,400,000"
2023-10-07,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,2,pcs, N 8333 UF ,128,"60,000","120,000"
2023-10-09,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,1,pcs, N 8235 UG ,124,"60,000","60,000"
2023-10-09,GANTI NOZZLE ,BENGKEL GANESHA,4,pcs, N 9490 UH ,112,"425,000","1,700,000"
2023-10-09,GANTI NOZZLE ,Kas - BENGKEL GANESHA,4,pcs, N 9490 UH ,112,"425,000","1,700,000"
2023-10-10,Oil Engine MEDITRAN SX,15W-40,5,ltr, N 8515 UH ,404,"32,100","160,500"
2023-10-10,Oil Engine MEDITRAN SX,15W-40,1,ltr, N 8271 UE ,102,"32,100","32,100"
2023-10-10,Service REK END,TRI STAR,2,pcs, N 9490 UH ,112,"135,000","270,000"
2023-10-10,King Pin KIT NKR 71 ISUZU,73 Motor,1,set, N 9490 UH ,112,"500,000","500,000"
2023-10-10,STOPPER PIR DEPAN NKR/NMR,73 Motor,1,pcs, N 9490 UH ,112,"85,000","85,000"
2023-10-10,Bearing Roda Depan Luar / JUB,32207 J KOYO,1,pcs, N 9490 UH ,112,"77,000","77,000"
2023-10-10,BEARING RODA DEPAN DALAM NKR71 32210JR,73 MOTOR,1,pcs, N 9490 UH ,112,"150,000","150,000"
2023-10-10,PIR EXTRA NMR NO.1,73 MOTOR,1,pcs, N 8428 BF ,309,"380,000","380,000"
2023-10-10,SUNDUK PIR BLKG CANTER,73 MOTOR,1,pcs, N 8428 BF ,309,"40,000","40,000"
2023-10-10,BAUT RODA DEPAN KIRI IBK NKR71,73 MOTOR,2,pcs, N 8428 BF ,309,"55,000","110,000"
2023-10-10,Pajak STNK + JR ,Kas ,1,unit, N 8303 UH  ,110,"2,240,000","2,240,000"
2023-10-10,Pajak STNK + JR ,Kas ,1,unit, N 8308 UH  ,501,"2,240,000","2,240,000"
2023-10-10,Pajak STNK + JR ,Kas ,1,unit, N 8309 UH  ,505,"2,240,000","2,240,000"
2023-10-10,Pajak STNK + JR ,Kas ,1,unit, N 8310 UH  ,G,"2,240,000","2,240,000"
2023-10-10,Pajak STNK + JR ,Kas ,1,unit, N 8299 UH  ,506,"2,240,000","2,240,000"
2023-10-11,Oil Engine MEDITRAN SX,15W-40,9,ltr, N 9435 UG ,301,"32,100","288,900"
2023-10-11,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs, N 9435 UG ,301,"94,575","94,575"
2023-10-11,SEAL REM NKR71 40493,73 MOTOR,4,pcs, N 8427 BF ,311,"10,000","40,000"
2023-10-11,SEAL DEBU CANTER/NKR71,73 MOTOR,4,pcs, N 8427 BF ,311,"4,000","16,000"
2023-10-11,Minyak Rem PRESTONE / ARNEX,DOT 3,0.6,ltr, N 8427 BF ,311,"75,000","45,000"
2023-10-11,SKUN ACCU,73 MOTOR,2,pcs, N 8427 BF ,311,"7,500","15,000"
2023-10-11,PASANG DAUN VELG R16 2 JADI 1,BAMBANG AS,1,pcs, N 8333 UF ,128,"250,000","250,000"
2023-10-11,Ban Luar Duraturn Y601 750/16 / DGP,306 101 6560,1,pcs, N 8381 GF ,105,"1,697,655","1,697,655"
2023-10-11,Ban Luar Duraturn Y601 750/16 / DGP,306 300 9259,1,pcs, N 8381 GF ,105,"1,697,655","1,697,655"
2023-10-11,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,2,pcs, N 8381 GF ,105,"134,390","268,780"
2023-10-11,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,2,pcs, N 8381 GF ,105,"38,724","77,448"
2023-10-12,Oil Engine MEDITRAN SX,15W-40,9,ltr, N 9446 UG ,305,"32,100","288,900"
2023-10-12,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs, N 9446 UG ,305,"94,575","94,575"
2023-10-12,Fuel Filter NKR & NMR / ASTRA,16-97172549-0,1,pcs, N 9446 UG ,305,"37,000","37,000"
2023-10-12,Fuel Filter NKR & NMR / ASTRA, I8 98037481-A,1,pcs, N 9446 UG ,305,"90,675","90,675"
2023-10-12,Baut Roda NKR 71 RR-RH,Makmur Motor,1,pcs, N 9446 UG ,305,"65,000","65,000"
2023-10-12,Pasang Daun Velg,Bambang AS,1,pcs, N 9446 UG ,305,"150,000","150,000"
2023-10-12,DAUN VELG CANTER L6 12mm,SBM,1,pcs, N 9446 UG ,305,"340,000","340,000"
2023-10-12,KLAKSON 24V DENSO,73 MOTOR,0.5,set, N 8761 UG ,C,"150,000","75,000"
